model,layer,layer_idx,tile,orig_m,orig_n,orig_k,m,n,k,config,sa_size,sparsity,orig_macs,eff_macs,mac_reduction,cycles,cpu_us,match,npu_us
alexnet,__module.features.8/aten::_convolution/Convolution,1,41,9,32,32,9,23,9,0,32,0.7805,18432,3726,0.7979,39,54.7,TRUE,0.557142857
alexnet,__module.features.8/aten::_convolution/Convolution,1,42,9,32,32,9,19,9,0,32,0.8079,18432,3078,0.833,35,14.5,TRUE,0.5
alexnet,__module.features.8/aten::_convolution/Convolution,1,43,9,32,32,9,17,9,0,32,0.8216,18432,2754,0.8506,33,20.6,TRUE,0.471428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,44,9,32,32,9,13,9,1,16,0.8491,18432,2106,0.8857,29,15.3,TRUE,0.414285714
alexnet,__module.features.8/aten::_convolution/Convolution,1,45,9,32,32,9,21,9,0,32,0.7942,18432,3402,0.8154,37,34,TRUE,0.528571429
alexnet,__module.features.8/aten::_convolution/Convolution,1,46,9,32,32,9,17,9,0,32,0.8216,18432,2754,0.8506,33,59.6,TRUE,0.471428571
alexnet,__module.features.8/aten::_convolution/Convolution,1,47,9,32,32,9,18,9,0,32,0.8148,18432,2916,0.8418,34,18,TRUE,0.485714286
alexnet,__module.features.8/aten::_convolution/Convolution,1,48,9,32,32,9,13,9,1,16,0.8491,18432,2106,0.8857,29,14.7,TRUE,0.414285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,1,32,32,32,22,16,8,0,32,0.8516,65536,5632,0.9141,44,44.3,TRUE,0.628571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,2,32,32,32,22,17,8,0,32,0.8477,65536,5984,0.9087,45,49.2,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,3,32,32,32,22,17,8,0,32,0.8477,65536,5984,0.9087,45,48.6,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,4,32,32,32,22,15,8,0,32,0.8555,65536,5280,0.9194,43,88.8,TRUE,0.614285714
alexnet,__module.features.6/aten::_convolution/Convolution,2,5,32,32,32,22,18,8,0,32,0.8438,65536,6336,0.9033,46,49.1,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,6,32,32,32,22,18,8,0,32,0.8438,65536,6336,0.9033,46,50.7,TRUE,0.657142857
alexnet,__module.features.6/aten::_convolution/Convolution,2,7,32,32,32,22,20,8,0,32,0.8359,65536,7040,0.8926,48,49.3,TRUE,0.685714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,8,32,32,32,22,21,8,0,32,0.832,65536,7392,0.8872,49,47.9,TRUE,0.7
alexnet,__module.features.6/aten::_convolution/Convolution,2,9,32,32,32,22,17,8,0,32,0.8477,65536,5984,0.9087,45,160.7,TRUE,0.642857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,10,32,32,32,22,19,8,0,32,0.8398,65536,6688,0.8979,47,40.2,TRUE,0.671428571
alexnet,__module.features.6/aten::_convolution/Convolution,2,11,32,32,32,22,20,8,0,32,0.8359,65536,7040,0.8926,48,60.1,TRUE,0.685714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,12,32,32,32,22,13,8,0,32,0.8633,65536,4576,0.9302,41,48.5,TRUE,0.585714286
alexnet,__module.features.6/aten::_convolution/Convolution,2,13,32,32,32,28,16,9,0,32,0.8066,65536,8064,0.877,51,37.7,TRUE,0.728571429
alexnet,__module.features.6/aten::_convolution/Convolution,2,14,32,32,32,28,17,9,0,32,0.8022,65536,8568,0.8693,52,72.1,TRUE,0.742857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,15,32,32,32,28,17,9,0,32,0.8022,65536,8568,0.8693,52,39.3,TRUE,0.742857143
alexnet,__module.features.6/aten::_convolution/Convolution,2,16,32,32,32,28,15,9,0,32,0.811,65536,7560,0.8846,50,52.9,TRUE,0.714285714
